ID,major_cat,general_cat,specific_cat,met_value
280,13 Attending Sporting/Recreational Events,02 Attending Sporting/Recreational Events,03 Watching basketball,1.5
281,13 Attending Sporting/Recreational Events,02 Attending Sporting/Recreational Events,04 Watching biking,1.5
282,13 Attending Sporting/Recreational Events,02 Attending Sporting/Recreational Events,05 Watching billiards,1.5
283,13 Attending Sporting/Recreational Events,02 Attending Sporting/Recreational Events,06 Watching boating,1.5
284,13 Attending Sporting/Recreational Events,02 Attending Sporting/Recreational Events,07 Watching bowling,1.5
285,13 Attending Sporting/Recreational Events,02 Attending Sporting/Recreational Events,"08 Watching climbing, spelunking, caving",1.5
286,13 Attending Sporting/Recreational Events,02 Attending Sporting/Recreational Events,09 Watching dancing,1.5
287,13 Attending Sporting/Recreational Events,02 Attending Sporting/Recreational Events,10 Watching equestrian sports,1.5
288,13 Attending Sporting/Recreational Events,02 Attending Sporting/Recreational Events,11 Watching fencing,1.5
289,13 Attending Sporting/Recreational Events,02 Attending Sporting/Recreational Events,12 Watching fishing,1.5
290,13 Attending Sporting/Recreational Events,02 Attending Sporting/Recreational Events,13 Watching football,1.5
291,13 Attending Sporting/Recreational Events,02 Attending Sporting/Recreational Events,14 Watching golfing,1.5
292,13 Attending Sporting/Recreational Events,02 Attending Sporting/Recreational Events,15 Watching gymnastics,1.5
293,13 Attending Sporting/Recreational Events,02 Attending Sporting/Recreational Events,16 Watching hockey,1.5
294,13 Attending Sporting/Recreational Events,02 Attending Sporting/Recreational Events,17 Watching martial arts,1.5
295,13 Attending Sporting/Recreational Events,02 Attending Sporting/Recreational Events,18 Watching racquet sports,1.5
296,13 Attending Sporting/Recreational Events,02 Attending Sporting/Recreational Events,19 Watching rodeo competitions,1.5
297,13 Attending Sporting/Recreational Events,02 Attending Sporting/Recreational Events,20 Watching rollerblading,1.5
298,13 Attending Sporting/Recreational Events,02 Attending Sporting/Recreational Events,21 Watching rugby,1.5
299,13 Attending Sporting/Recreational Events,02 Attending Sporting/Recreational Events,22 Watching running,1.5
300,13 Attending Sporting/Recreational Events,02 Attending Sporting/Recreational Events,"23 Watching skiing, ice skating, snowboarding",1.5
301,13 Attending Sporting/Recreational Events,02 Attending Sporting/Recreational Events,24 Watching soccer,1.5
302,13 Attending Sporting/Recreational Events,02 Attending Sporting/Recreational Events,25 Watching softball,1.5
303,13 Attending Sporting/Recreational Events,02 Attending Sporting/Recreational Events,26 Watching vehicle touring/racing,1.5
304,13 Attending Sporting/Recreational Events,02 Attending Sporting/Recreational Events,27 Watching volleyball,1.5
305,13 Attending Sporting/Recreational Events,02 Attending Sporting/Recreational Events,28 Watching walking,1.5
306,13 Attending Sporting/Recreational Events,02 Attending Sporting/Recreational Events,29 Watching water sports,1.5
307,13 Attending Sporting/Recreational Events,02 Attending Sporting/Recreational Events,30 Watching weightlifting/strength training,1.5
308,13 Attending Sporting/Recreational Events,02 Attending Sporting/Recreational Events,"31 Watching people working out, unspecified",1.5
309,13 Attending Sporting/Recreational Events,02 Attending Sporting/Recreational Events,32 Watching wrestling,1.5
310,13 Attending Sporting/Recreational Events,02 Attending Sporting/Recreational Events,"99 Attending sporting events, n.e.c.",1.5
311,13 Attending Sporting/Recreational Events,"03 Waiting Associated with Sports, Exercise, and Recreation",01 Waiting related to playing sports or exercising,1.5
312,13 Attending Sporting/Recreational Events,"03 Waiting Associated with Sports, Exercise, and Recreation",02 Waiting related to attending sporting events,1.5
313,13 Attending Sporting/Recreational Events,"03 Waiting Associated with Sports, Exercise, and Recreation","99 Waiting associated with sports, exercise, and recreation, n.e.c.",1.5
314,13 Attending Sporting/Recreational Events,"04 Security Procedures Related to Sports, Exercise and Recreation",01 Security related to playing sports or exercising,2.33
315,13 Attending Sporting/Recreational Events,"04 Security Procedures Related to Sports, Exercise and Recreation",02 Security related to attending sporting events,2.33
316,13 Attending Sporting/Recreational Events,"04 Security Procedures Related to Sports, Exercise and Recreation","99 Security related to sports, exercise, and recreation, n.e.c.",2.33
317,13 Attending Sporting/Recreational Events,"99 Sports, exercise and recreation, n.e.c.","99 Sports, exercise and recreation, n.e.c.",4.78
318,14 Religious and Spiritual Activities,01 Religious/Spiritual Practices,01 Attending religious services,1.42
319,14 Religious and Spiritual Activities,01 Religious/Spiritual Practices,02 Participation in religious practices,1.89
320,14 Religious and Spiritual Activities,01 Religious/Spiritual Practices,03 Waiting associated with religious and spiritual activities,1.5
321,14 Religious and Spiritual Activities,01 Religious/Spiritual Practices,04 Security procedures related to religious and spiritual activities,2.33
322,14 Religious and Spiritual Activities,"99 Religious and Spiritual Activities, n.e.c.","99 Religious and spiritual activities, n.e.c.",1.75
323,15 Volunteer Activities,01 Administrative and Support Activities,01 Computer use,1.5
324,15 Volunteer Activities,01 Administrative and Support Activities,02 Organizing and preparing,1.5
325,15 Volunteer Activities,01 Administrative and Support Activities,03 Reading,1.5
326,15 Volunteer Activities,01 Administrative and Support Activities,04 Telephone calls (except hotline counseling),1.5
327,15 Volunteer Activities,01 Administrative and Support Activities,05 Writing,1.5
328,15 Volunteer Activities,01 Administrative and Support Activities,06 Fundraising,1.7
329,15 Volunteer Activities,01 Administrative and Support Activities,"99 Administrative and support activities, n.e.c.",1.55
330,15 Volunteer Activities,02 Social Service and Care Activities (Except Medical),"01 Food preparation, presentation, clean-up",2.45
331,15 Volunteer Activities,02 Social Service and Care Activities (Except Medical),02 Collecting and delivering clothing and other goods,2.65
332,15 Volunteer Activities,02 Social Service and Care Activities (Except Medical),03 Providing care,2.25
333,15 Volunteer Activities,02 Social Service and Care Activities (Except Medical),"04 Teaching, leading, counseling, mentoring",2.14
334,15 Volunteer Activities,02 Social Service and Care Activities (Except Medical),"99 Social Service and care activities, n.e.c.",1.97
335,15 Volunteer Activities,"03 Indoor and Outdoor Maintenance, Building, and Clean-Up Activities","01 Building houses, wildlife sites, and other structures",4.5
336,15 Volunteer Activities,"03 Indoor and Outdoor Maintenance, Building, and Clean-Up Activities","02 Indoor and outdoor maintenance, repair, and clean-up",3.56
337,15 Volunteer Activities,"03 Indoor and Outdoor Maintenance, Building, and Clean-Up Activities","99 Indoor & outdoor maintenance, building & clean-up activities, n.e.c.",3.82
338,15 Volunteer Activities,04 Participating in Performance and Cultural Activities,01 Performing,2.92
339,15 Volunteer Activities,04 Participating in Performance and Cultural Activities,02 Serving at volunteer events and cultural activities,1.83
340,15 Volunteer Activities,04 Participating in Performance and Cultural Activities,"99 Participating in performance and cultural activities, n.e.c.",2.51
341,15 Volunteer Activities,"05 Attending Meetings, Conferences, and Training","01 Attending meetings, conferences, and training",1.5
342,15 Volunteer Activities,"05 Attending Meetings, Conferences, and Training","99 Attending meetings, conferences, and training, n.e.c.",1.5
343,15 Volunteer Activities,06 Public Health and Safety Activities,01 Public health activities,2
344,15 Volunteer Activities,06 Public Health and Safety Activities,02 Public safety activities,2.5
345,15 Volunteer Activities,06 Public Health and Safety Activities,"99 Public health and safety activities, n.e.c.",2.25
346,15 Volunteer Activities,"99 Volunteer Activities, n.e.c.","99 Volunteer activities, n.e.c.",2.29
347,16 Telephone Calls,01 Telephone calls (to or from),01 Telephone calls to/from family members,1.5
348,16 Telephone Calls,01 Telephone calls (to or from),"02 Telephone calls to/from friends, neighbors, or acquaintance",1.5
349,16 Telephone Calls,01 Telephone calls (to or from),03 Telephone calls to/from education services providers,1.5
350,16 Telephone Calls,01 Telephone calls (to or from),04 Telephone calls to/from salespeople,1.5
351,16 Telephone Calls,01 Telephone calls (to or from),05 Telephone calls to/from professional or personal care services providers,1.5
352,16 Telephone Calls,01 Telephone calls (to or from),06 Telephone calls to/from HH services providers,1.5
353,16 Telephone Calls,01 Telephone calls (to or from),07 Telephone calls to/from paid child or adult care providers,1.5
354,16 Telephone Calls,01 Telephone calls (to or from),08 Telephone calls to/from government officials,1.5
355,16 Telephone Calls,"99 Telephone Calls, n.e.c.","99 Telephone Calls, n.e.c.",1.5
